month,product,acquirer_segment,deals_created,deals_won,pipeline_value_usd,avg_deal_size_usd,win_rate,avg_days_to_close,mom_growth
2025-02-01,Acceptance API,Fintechs,5,2,498445.77,185125.35,0.4615,87.2,0.0786
2025-02-01,Visa Acceptance Console,Tier 1 Banks,8,2,4829918.93,923572.2,0.3463,121.6,-0.0051
2025-02-01,Visa Acceptance Console,Regional Banks,11,4,2976257.54,479018.09,0.4352,85.6,0.0244
2025-02-01,Visa Acceptance Console,ISOs,5,2,236777.09,110215.32,0.5703,42.9,0.0338
2025-02-01,Visa Acceptance Console,Fintechs,12,5,1463077.58,227408.66,0.4639,81.2,0.0056
2025-03-01,Tap-to-Phone,Tier 1 Banks,5,1,2933117.93,923592.51,0.3648,120.3,0.0276
2025-03-01,Tap-to-Phone,Regional Banks,6,2,1516980.5,434132.76,0.4176,95.6,0.0113
2025-03-01,Tap-to-Phone,ISOs,6,3,257017.13,96840.66,0.5577,41.0,0.0281
2025-03-01,Tap-to-Phone,Fintechs,8,3,905106.97,215086.04,0.474,83.7,0.0464
2025-03-01,Tokenization Suite,Tier 1 Banks,8,2,5259565.17,1005846.89,0.3464,136.3,-0.0174
2025-03-01,Tokenization Suite,Regional Banks,10,4,2957763.96,526203.08,0.4379,92.0,0.0305
2025-03-01,Tokenization Suite,ISOs,14,7,718660.64,116847.89,0.5607,41.5,0.0634
2025-03-01,Tokenization Suite,Fintechs,8,3,1082717.7,250727.57,0.4602,82.1,0.0497
2025-03-01,Acceptance API,Tier 1 Banks,8,2,4016723.21,745248.35,0.3263,125.9,0.0344
2025-03-01,Acceptance API,Regional Banks,6,2,1384266.07,414999.46,0.4441,89.0,0.0327
2025-03-01,Acceptance API,ISOs,11,6,422582.56,88341.07,0.5651,46.4,0.1552
2025-03-01,Acceptance API,Fintechs,13,6,1281851.57,190194.21,0.4816,66.1,0.1003
2025-03-01,Visa Acceptance Console,Tier 1 Banks,13,4,8105724.38,940853.34,0.3373,128.6,0.0191
2025-03-01,Visa Acceptance Console,Regional Banks,11,4,2900768.06,438922.61,0.3992,86.0,0.0463
2025-03-01,Visa Acceptance Console,ISOs,5,2,245603.01,102243.8,0.5196,42.5,0.0513
2025-03-01,Visa Acceptance Console,Fintechs,5,2,602565.62,232396.6,0.4814,79.6,0.0073
2025-04-01,Tap-to-Phone,Tier 1 Banks,7,2,4004839.49,852277.31,0.3287,113.1,0.004
2025-04-01,Tap-to-Phone,Regional Banks,5,2,1288754.22,442788.53,0.4179,88.3,0.0325
2025-04-01,Tap-to-Phone,ISOs,8,4,346306.37,92657.77,0.5328,42.1,-0.0315
2025-04-01,Tap-to-Phone,Fintechs,9,4,1038165.01,231342.62,0.5014,71.6,0.0513
2025-04-01,Tokenization Suite,Tier 1 Banks,8,2,5314967.49,1030538.26,0.3553,115.0,0.0061
2025-04-01,Tokenization Suite,Regional Banks,8,3,2463646.41,522888.92,0.411,84.0,0.0131
2025-04-01,Tokenization Suite,ISOs,7,3,362864.5,112938.91,0.541,36.9,0.0036
2025-04-01,Tokenization Suite,Fintechs,8,3,1088517.35,237693.73,0.4276,79.0,-0.0131
2025-04-01,Acceptance API,Tier 1 Banks,7,2,3293190.1,690573.39,0.3187,110.4,0.0128
2025-04-01,Acceptance API,Regional Banks,11,4,2552586.04,399020.78,0.4184,90.2,-0.0199
2025-04-01,Acceptance API,ISOs,8,4,324371.26,89504.54,0.547,44.0,-0.0207
2025-04-01,Acceptance API,Fintechs,9,4,931930.49,194355.31,0.4672,73.0,0.0631
2025-04-01,Visa Acceptance Console,Tier 1 Banks,11,3,6689079.5,941656.17,0.3542,124.5,0.0874
2025-04-01,Visa Acceptance Console,Regional Banks,7,2,1875824.36,461463.73,0.4193,94.3,0.0238
2025-04-01,Visa Acceptance Console,ISOs,14,7,665393.63,103380.86,0.5403,47.1,0.084
2025-04-01,Visa Acceptance Console,Fintechs,12,6,1522588.15,254769.29,0.502,66.6,0.0357
2025-05-01,Tap-to-Phone,Tier 1 Banks,7,2,3922607.12,883705.92,0.3659,104.2,-0.0369
2025-05-01,Tap-to-Phone,Regional Banks,9,3,2275672.53,401216.03,0.3698,89.7,0.0486
2025-05-01,Tap-to-Phone,ISOs,10,5,432186.57,95278.54,0.5464,45.5,0.0289
2025-05-01,Tap-to-Phone,Fintechs,12,6,1321028.29,228790.53,0.5188,72.4,0.0383
2025-05-01,Tokenization Suite,Tier 1 Banks,8,2,5756150.91,1103967.34,0.3482,108.7,0.0094
2025-05-01,Tokenization Suite,Regional Banks,10,4,2972679.37,536393.44,0.4458,78.5,-0.0221
2025-05-01,Tokenization Suite,ISOs,10,5,521800.76,106218.32,0.5087,52.6,0.0039
2025-05-01,Tokenization Suite,Fintechs,13,6,1716901.27,275932.57,0.5214,90.0,0.0085
2025-05-01,Acceptance API,Tier 1 Banks,5,1,2619094.83,776937.3,0.3258,126.3,-0.0056
2025-05-01,Acceptance API,Regional Banks,7,2,1646132.5,398174.31,0.4094,81.7,0.0759
2025-05-01,Acceptance API,ISOs,6,3,250108.42,84581.27,0.5072,49.7,0.0235
2025-05-01,Acceptance API,Fintechs,9,4,891975.17,198846.74,0.5016,79.7,0.0008
2025-05-01,Visa Acceptance Console,Tier 1 Banks,6,2,3748551.74,1002632.4,0.3769,101.2,-0.0085
2025-05-01,Visa Acceptance Console,Regional Banks,8,3,2185079.09,497033.41,0.4505,97.4,0.0267
2025-05-01,Visa Acceptance Console,ISOs,11,6,515413.5,111107.04,0.5783,44.0,0.0284
2025-05-01,Visa Acceptance Console,Fintechs,14,6,1808159.53,252411.95,0.4883,80.4,0.0294
2025-06-01,Tap-to-Phone,Tier 1 Banks,10,3,5763901.24,947084.0,0.3914,111.8,0.0065
2025-06-01,Tap-to-Phone,Regional Banks,6,2,1472813.54,431026.16,0.4305,98.9,0.0378
2025-06-01,Tap-to-Phone,ISOs,9,5,386295.92,99503.3,0.5686,48.0,0.0162
2025-06-01,Tap-to-Phone,Fintechs,12,5,1432053.99,226102.79,0.4722,86.6,-0.0233
2025-06-01,Tokenization Suite,Tier 1 Banks,13,4,8647469.31,1038185.17,0.3593,115.3,0.0028
2025-06-01,Tokenization Suite,Regional Banks,12,4,3812282.91,530149.77,0.4008,99.6,-0.0051
2025-06-01,Tokenization Suite,ISOs,7,4,351147.38,127972.22,0.608,47.9,-0.0167
2025-06-01,Tokenization Suite,Fintechs,6,3,794120.44,269139.33,0.5082,79.8,-0.0337
2025-06-01,Acceptance API,Tier 1 Banks,9,2,4807398.2,790888.86,0.3246,122.6,0.0075
2025-06-01,Acceptance API,Regional Banks,7,3,1572062.84,416286.56,0.4605,88.8,0.1002
2025-06-01,Acceptance API,ISOs,8,4,305141.81,93061.32,0.5901,49.9,0.0466
2025-06-01,Acceptance API,Fintechs,10,4,1069219.26,194931.24,0.4515,75.6,0.0383
2025-06-01,Visa Acceptance Console,Tier 1 Banks,11,4,6938696.47,1028407.8,0.3866,115.9,-0.0188
2025-06-01,Visa Acceptance Console,Regional Banks,7,3,1929238.09,521507.7,0.4715,87.5,0.0317
2025-06-01,Visa Acceptance Console,ISOs,8,4,413137.42,108775.69,0.5252,41.9,0.0258
2025-06-01,Visa Acceptance Console,Fintechs,6,2,780429.33,231492.21,0.4381,73.1,0.0531
2025-07-01,Tap-to-Phone,Tier 1 Banks,8,2,4406249.01,855877.02,0.3565,116.6,-0.0141
2025-07-01,Tap-to-Phone,Regional Banks,12,5,3012704.15,479117.21,0.476,86.7,0.0244
2025-07-01,Tap-to-Phone,ISOs,11,5,527771.18,95506.01,0.4976,42.6,0.0158
2025-07-01,Tap-to-Phone,Fintechs,11,5,1213164.99,217926.52,0.4939,83.1,0.0322
2025-07-01,Tokenization Suite,Tier 1 Banks,12,4,8090727.74,1071867.77,0.371,130.6,0.0236
2025-07-01,Tokenization Suite,Regional Banks,6,2,1849342.1,472143.17,0.3472,100.3,0.0896
2025-07-01,Tokenization Suite,ISOs,10,5,517275.57,118650.13,0.564,40.0,0.0501
2025-07-01,Tokenization Suite,Fintechs,10,4,1308527.44,241046.61,0.4571,84.1,0.0338
2025-07-01,Acceptance API,Tier 1 Banks,3,0,1653652.01,825603.87,0.3323,135.6,0.0719
2025-07-01,Acceptance API,Regional Banks,4,1,897303.85,413286.37,0.4572,91.3,0.0167
2025-07-01,Acceptance API,ISOs,4,2,154724.86,90024.68,0.5703,49.9,0.0289
2025-07-01,Acceptance API,Fintechs,5,2,545293.86,201547.95,0.4589,74.8,-0.0292
2025-07-01,Visa Acceptance Console,Tier 1 Banks,8,3,5062360.68,1038819.76,0.3909,123.7,0.0635
2025-07-01,Visa Acceptance Console,Regional Banks,8,3,2165756.0,478945.98,0.4348,100.7,0.0716
2025-07-01,Visa Acceptance Console,ISOs,5,2,260995.81,114078.7,0.5424,48.2,-0.01
2025-07-01,Visa Acceptance Console,Fintechs,6,2,802244.36,264281.98,0.4941,87.3,-0.0003
2025-08-01,Tap-to-Phone,Tier 1 Banks,6,2,3340921.64,878206.36,0.366,147.0,0.0857
2025-08-01,Tap-to-Phone,Regional Banks,12,5,2982745.36,453241.72,0.4516,88.3,0.0136
2025-08-01,Tap-to-Phone,ISOs,9,4,437407.82,101478.79,0.5211,40.7,0.0658
2025-08-01,Tap-to-Phone,Fintechs,8,4,884478.72,225409.66,0.5095,70.7,0.0289
2025-08-01,Tokenization Suite,Tier 1 Banks,12,3,8978449.18,1117154.93,0.3303,121.7,-0.0021
2025-08-01,Tokenization Suite,Regional Banks,10,3,3227823.45,514663.27,0.3728,101.0,-0.0184
2025-08-01,Tokenization Suite,ISOs,13,6,761607.1,112606.15,0.4797,46.2,0.0863
2025-08-01,Tokenization Suite,Fintechs,14,7,1854695.1,283738.6,0.5331,82.7,0.0275
2025-08-01,Acceptance API,Tier 1 Banks,8,3,4113079.17,837484.14,0.3861,145.4,0.0274
2025-08-01,Acceptance API,Regional Banks,4,1,896840.78,412103.51,0.4559,99.8,0.0119
2025-08-01,Acceptance API,ISOs,10,4,439394.91,86488.49,0.492,43.6,0.0531
2025-08-01,Acceptance API,Fintechs,9,4,891179.06,190354.15,0.4798,72.1,0.0163
2025-08-01,Visa Acceptance Console,Tier 1 Banks,9,3,5545296.36,978510.77,0.3703,134.0,0.0087
2025-08-01,Visa Acceptance Console,Regional Banks,12,4,3613318.58,497311.62,0.3945,90.5,0.0143
2025-08-01,Visa Acceptance Console,ISOs,8,4,427801.47,111420.86,0.5201,47.2,0.0752
2025-08-01,Visa Acceptance Console,Fintechs,7,3,851381.58,250609.73,0.5147,70.4,0.0407
2025-09-01,Tap-to-Phone,Tier 1 Banks,11,3,6820435.78,900182.68,0.3112,122.0,0.0969
2025-09-01,Tap-to-Phone,Regional Banks,8,4,2023510.66,514829.52,0.5087,76.7,0.0251
2025-09-01,Tap-to-Phone,ISOs,6,3,257382.8,102521.46,0.5816,47.6,0.0081
2025-09-01,Tap-to-Phone,Fintechs,10,4,1237652.33,212757.73,0.4183,74.3,0.0024
2025-09-01,Tokenization Suite,Tier 1 Banks,10,3,7751677.63,1179294.09,0.3427,134.6,0.0062
2025-09-01,Tokenization Suite,Regional Banks,6,2,1810217.38,577734.51,0.4778,100.8,0.0523
2025-09-01,Tokenization Suite,ISOs,6,3,312775.95,116675.22,0.5532,47.4,0.0015
2025-09-01,Tokenization Suite,Fintechs,6,3,796904.87,272634.28,0.5128,79.8,-0.0067
2025-09-01,Acceptance API,Tier 1 Banks,10,3,5552216.76,802101.48,0.3078,120.5,0.0042
2025-09-01,Acceptance API,Regional Banks,5,1,1197766.17,364772.38,0.3433,97.7,0.0499
2025-09-01,Acceptance API,ISOs,9,4,401011.22,91568.4,0.5134,46.3,0.0505
2025-09-01,Acceptance API,Fintechs,8,4,796916.6,206909.98,0.5186,77.5,0.003
2025-09-01,Visa Acceptance Console,Tier 1 Banks,5,1,3076462.72,978376.12,0.3711,125.7,0.0202
2025-09-01,Visa Acceptance Console,Regional Banks,12,4,3707121.07,519339.32,0.4052,88.9,0.0177
2025-09-01,Visa Acceptance Console,ISOs,12,6,572571.88,107851.88,0.5576,43.0,0.0436
2025-09-01,Visa Acceptance Console,Fintechs,8,4,973234.95,244342.88,0.5021,82.7,0.0124
2025-10-01,Tap-to-Phone,Tier 1 Banks,6,2,3467394.29,962557.58,0.3996,113.4,0.11
2025-10-01,Tap-to-Phone,Regional Banks,6,2,1701583.39,466259.63,0.3918,91.7,0.0129
2025-10-01,Tap-to-Phone,ISOs,8,5,328521.51,113189.5,0.6372,40.2,0.0149
2025-10-01,Tap-to-Phone,Fintechs,9,4,994927.41,219110.74,0.4955,73.6,-0.0116
2025-10-01,Tokenization Suite,Tier 1 Banks,9,2,6666605.01,1050016.55,0.2946,119.4,0.0326
2025-10-01,Tokenization Suite,Regional Banks,2,0,602479.15,571690.31,0.4731,82.1,0.058
2025-10-01,Tokenization Suite,ISOs,7,4,361383.71,122852.89,0.5798,46.7,-0.0016
2025-10-01,Tokenization Suite,Fintechs,8,4,1053552.64,302605.41,0.5648,63.3,0.0481
2025-10-01,Acceptance API,Tier 1 Banks,6,2,3121595.66,866964.88,0.3999,104.9,0.0579
2025-10-01,Acceptance API,Regional Banks,10,4,2237078.19,408637.74,0.4526,93.9,0.0029
2025-10-01,Acceptance API,ISOs,5,2,226409.86,82184.33,0.449,40.5,0.1037
2025-10-01,Acceptance API,Fintechs,6,3,598242.03,205633.69,0.5151,72.8,0.0833
2025-10-01,Visa Acceptance Console,Tier 1 Banks,11,4,7006372.08,1064151.07,0.4015,119.1,0.0575
2025-10-01,Visa Acceptance Console,Regional Banks,9,3,2829191.44,527104.99,0.4036,87.0,0.044
2025-10-01,Visa Acceptance Console,ISOs,12,6,573043.04,108465.34,0.5597,46.9,0.0186
2025-10-01,Visa Acceptance Console,Fintechs,4,1,556303.95,242066.25,0.4255,77.5,0.0404
2025-11-01,Tap-to-Phone,Tier 1 Banks,10,3,5723744.26,942875.55,0.3929,135.8,0.0232
2025-11-01,Tap-to-Phone,Regional Banks,11,4,3126384.33,451395.0,0.3704,79.4,-0.0056
2025-11-01,Tap-to-Phone,ISOs,9,4,461876.76,102072.37,0.4972,45.9,0.0472
2025-11-01,Tap-to-Phone,Fintechs,8,3,1040930.05,247678.16,0.4747,74.0,0.063
2025-11-01,Tokenization Suite,Tier 1 Banks,7,2,4895552.33,1184107.23,0.4094,118.6,0.014
2025-11-01,Tokenization Suite,Regional Banks,12,4,4178128.62,578925.3,0.3986,73.0,0.0405
2025-11-01,Tokenization Suite,ISOs,10,4,616053.85,115328.02,0.4658,48.5,0.0473
2025-11-01,Tokenization Suite,Fintechs,12,5,1870839.61,288219.69,0.4591,79.9,-0.0482
2025-11-01,Acceptance API,Tier 1 Banks,9,3,4419916.48,765342.89,0.3583,111.7,0.0603
2025-11-01,Acceptance API,Regional Banks,4,1,1014188.29,396446.98,0.3605,84.5,0.0321
2025-11-01,Acceptance API,ISOs,7,4,271735.08,92031.21,0.5782,41.9,0.0466
2025-11-01,Acceptance API,Fintechs,4,2,398567.94,215960.76,0.5386,76.6,0.0555
2025-11-01,Visa Acceptance Console,Tier 1 Banks,12,4,7476329.76,1012092.65,0.3844,110.4,0.0706
2025-11-01,Visa Acceptance Console,Regional Banks,7,3,1939007.36,534352.53,0.4816,83.6,0.0201
2025-11-01,Visa Acceptance Console,ISOs,5,2,282515.14,110166.39,0.4871,35.1,0.048
2025-11-01,Visa Acceptance Console,Fintechs,7,3,1001945.78,273231.42,0.4761,70.4,0.0195
2025-12-01,Tap-to-Phone,Tier 1 Banks,5,1,3175742.28,889544.72,0.286,121.3,0.0494
2025-12-01,Tap-to-Phone,Regional Banks,6,2,1761975.56,480616.87,0.389,99.0,0.0528
2025-12-01,Tap-to-Phone,ISOs,12,7,497692.17,112791.77,0.6323,43.9,0.0359
2025-12-01,Tap-to-Phone,Fintechs,5,2,659190.41,238118.32,0.4463,82.2,-0.0181
2025-12-01,Tokenization Suite,Tier 1 Banks,7,1,5321399.15,1062323.51,0.2844,112.9,0.0905
2025-12-01,Tokenization Suite,Regional Banks,8,3,2351320.79,518853.38,0.4335,100.6,0.0193
2025-12-01,Tokenization Suite,ISOs,10,5,514709.98,125861.1,0.591,47.0,0.0591
2025-12-01,Tokenization Suite,Fintechs,12,5,1899746.28,287507.98,0.4494,83.3,-0.0279
2025-12-01,Acceptance API,Tier 1 Banks,7,2,3500682.55,796946.4,0.3725,126.0,0.053
2025-12-01,Acceptance API,Regional Banks,7,2,1834974.77,421167.53,0.3776,77.0,0.0585
2025-12-01,Acceptance API,ISOs,10,6,380408.38,97940.95,0.6116,41.7,0.0646
2025-12-01,Acceptance API,Fintechs,5,2,498672.46,201456.87,0.5049,83.4,0.0016
2025-12-01,Visa Acceptance Console,Tier 1 Banks,6,1,4235572.74,997743.45,0.2925,124.9,0.0349
2025-12-01,Visa Acceptance Console,Regional Banks,2,0,547485.65,503679.71,0.4565,96.3,-0.0054
2025-12-01,Visa Acceptance Console,ISOs,6,3,342343.21,119384.97,0.5221,47.0,-0.0322
2025-12-01,Visa Acceptance Console,Fintechs,3,1,365464.53,266468.97,0.5428,71.5,0.038
2026-01-01,Tap-to-Phone,Tier 1 Banks,4,1,2355174.95,1021259.01,0.4235,120.0,0.0399
2026-01-01,Tap-to-Phone,Regional Banks,3,1,899751.68,494571.61,0.3936,76.1,0.0352
2026-01-01,Tap-to-Phone,ISOs,9,5,384387.93,106819.73,0.6002,45.1,0.1182
2026-01-01,Tap-to-Phone,Fintechs,8,4,879438.94,256375.75,0.5712,77.5,0.0621
2026-01-01,Tokenization Suite,Tier 1 Banks,4,1,3138223.95,1106632.03,0.291,120.2,0.0251
2026-01-01,Tokenization Suite,Regional Banks,10,3,3476547.6,534761.11,0.3499,104.1,0.0751
2026-01-01,Tokenization Suite,ISOs,10,5,633633.9,131014.0,0.5164,41.3,0.1145
2026-01-01,Tokenization Suite,Fintechs,6,2,961647.26,281814.22,0.4313,71.6,-0.0134
2026-01-01,Acceptance API,Tier 1 Banks,7,2,4219863.03,870797.75,0.3077,123.6,0.0192
2026-01-01,Acceptance API,Regional Banks,5,1,1315649.65,410923.85,0.3597,74.3,0.0271
2026-01-01,Acceptance API,ISOs,3,1,143285.71,88456.77,0.4601,39.9,0.0391
2026-01-01,Acceptance API,Fintechs,6,3,598952.46,216375.21,0.5386,73.2,0.0248
2026-01-01,Visa Acceptance Console,Tier 1 Banks,3,0,2243809.37,1098557.49,0.3192,111.1,0.0124
2026-01-01,Visa Acceptance Console,Regional Banks,13,6,3625619.16,568957.69,0.5098,83.7,0.0322
2026-01-01,Visa Acceptance Console,ISOs,4,2,186153.94,120183.06,0.6128,45.2,0.0458
2026-01-01,Visa Acceptance Console,Fintechs,12,6,1461530.27,269906.34,0.5488,66.8,0.0359
2026-02-01,Tap-to-Phone,Tier 1 Banks,8,3,4598629.91,962318.32,0.4027,127.0,-0.0026
2026-02-01,Tap-to-Phone,Regional Banks,10,4,2510383.47,478915.04,0.4758,75.6,0.0164
2026-02-01,Tap-to-Phone,ISOs,12,7,485626.58,118215.48,0.6577,38.9,0.0658
2026-02-01,Tap-to-Phone,Fintechs,13,5,1751841.31,228403.49,0.41,71.5,0.0225
2026-02-01,Tokenization Suite,Tier 1 Banks,8,2,6400589.27,1127431.84,0.2904,119.2,-0.0363
2026-02-01,Tokenization Suite,Regional Banks,2,0,716048.47,560765.81,0.3615,73.2,-0.0002
2026-02-01,Tokenization Suite,ISOs,8,3,518370.26,124410.3,0.4792,48.6,0.0572
2026-02-01,Tokenization Suite,Fintechs,12,5,1964037.66,295382.8,0.4459,73.6,0.0024
2026-02-01,Acceptance API,Tier 1 Banks,6,2,3093369.43,858937.01,0.3998,138.1,0.0098
2026-02-01,Acceptance API,Regional Banks,6,2,1347763.92,419336.94,0.4643,91.0,-0.0016
2026-02-01,Acceptance API,ISOs,2,0,97179.94,93847.6,0.4822,37.5,0.0365
2026-02-01,Acceptance API,Fintechs,2,1,199886.71,207672.03,0.5187,80.1,0.0689
2026-02-01,Visa Acceptance Console,Tier 1 Banks,13,4,9797813.0,1091749.62,0.3097,125.6,0.0738
2026-02-01,Visa Acceptance Console,Regional Banks,6,1,1909253.95,475088.59,0.3302,75.7,0.0063
2026-02-01,Visa Acceptance Console,ISOs,14,7,823910.66,123814.45,0.5247,48.6,0.0109
2026-02-01,Visa Acceptance Console,Fintechs,8,4,975582.94,246492.55,0.5053,69.7,-0.0132
2026-03-01,Tap-to-Phone,Tier 1 Banks,9,3,5173831.74,966079.0,0.4049,125.5,0.0177
2026-03-01,Tap-to-Phone,Regional Banks,12,5,3001089.25,471547.24,0.4696,90.6,0.0517
2026-03-01,Tap-to-Phone,ISOs,7,4,303571.65,102871.61,0.5784,40.0,-0.0071
2026-03-01,Tap-to-Phone,Fintechs,7,3,776417.5,225504.38,0.5081,71.9,0.0227
2026-03-01,Tokenization Suite,Tier 1 Banks,7,2,4732602.86,1106767.06,0.3891,108.5,0.0754
2026-03-01,Tokenization Suite,Regional Banks,10,4,3017499.36,581435.5,0.481,83.5,0.0253
2026-03-01,Tokenization Suite,ISOs,7,4,361934.99,126407.67,0.591,43.8,-0.0277
2026-03-01,Tokenization Suite,Fintechs,3,1,399956.23,279257.49,0.5226,79.1,0.0202
2026-03-01,Acceptance API,Tier 1 Banks,5,1,3108255.21,889136.3,0.3008,104.1,0.0084
2026-03-01,Acceptance API,Regional Banks,10,3,2695399.64,411646.4,0.3452,90.1,0.0337
2026-03-01,Acceptance API,ISOs,5,2,243269.64,105112.82,0.5371,50.8,0.0629
2026-03-01,Acceptance API,Fintechs,9,4,894471.38,195234.31,0.4909,81.5,0.0034
2026-03-01,Visa Acceptance Console,Tier 1 Banks,13,5,8094781.09,1025220.67,0.3926,120.5,-0.0635
2026-03-01,Visa Acceptance Console,Regional Banks,9,4,2482505.14,525287.04,0.4749,85.6,-0.0131
2026-03-01,Visa Acceptance Console,ISOs,3,1,181051.43,111645.62,0.4594,48.7,0.0043
2026-03-01,Visa Acceptance Console,Fintechs,7,3,1068232.36,275951.22,0.447,82.9,0.046
2026-04-01,Tap-to-Phone,Tier 1 Banks,11,4,6253574.69,944848.05,0.3983,132.1,0.0219
2026-04-01,Tap-to-Phone,Regional Banks,4,1,1241013.1,488260.64,0.3646,81.1,0.0142
2026-04-01,Tap-to-Phone,ISOs,2,1,86704.61,103585.29,0.5815,48.3,-0.0137
2026-04-01,Tap-to-Phone,Fintechs,9,4,999392.3,243444.7,0.5439,64.4,0.0122
2026-04-01,Tokenization Suite,Tier 1 Banks,12,4,8279901.33,1164432.01,0.4074,112.9,0.0143
2026-04-01,Tokenization Suite,Regional Banks,10,4,2933822.32,522844.36,0.4389,88.8,0.0253
2026-04-01,Tokenization Suite,ISOs,4,1,265062.41,113501.21,0.4162,46.2,0.0083
2026-04-01,Tokenization Suite,Fintechs,12,4,1996959.64,276170.06,0.3974,69.0,0.033
2026-04-01,Acceptance API,Tier 1 Banks,6,1,3858235.33,934181.81,0.3117,114.5,0.0321
2026-04-01,Acceptance API,Regional Banks,5,2,1133799.38,442437.16,0.4875,84.4,0.0368
2026-04-01,Acceptance API,ISOs,5,2,193864.99,95351.92,0.5934,35.1,0.0558
2026-04-01,Acceptance API,Fintechs,5,2,499553.67,220055.24,0.546,66.4,0.0291
2026-04-01,Visa Acceptance Console,Tier 1 Banks,13,5,8413246.03,1133004.22,0.4288,138.3,-0.0189
2026-04-01,Visa Acceptance Console,Regional Banks,12,4,4031530.06,513884.54,0.3462,100.0,0.0122
2026-04-01,Visa Acceptance Console,ISOs,8,5,366684.29,125742.74,0.6355,40.1,0.0359
2026-04-01,Visa Acceptance Console,Fintechs,13,7,1576975.31,283027.71,0.5714,80.1,0.0406
2026-05-01,Tap-to-Phone,Tier 1 Banks,9,2,6281985.19,969758.22,0.2802,128.8,0.0121
2026-05-01,Tap-to-Phone,Regional Banks,4,1,1275546.15,512579.52,0.3779,89.6,0.0352
2026-05-01,Tap-to-Phone,ISOs,5,3,211093.11,112039.57,0.6232,51.4,0.0561
2026-05-01,Tap-to-Phone,Fintechs,5,2,555759.0,238719.04,0.5344,88.3,0.0469
2026-05-01,Tokenization Suite,Tier 1 Banks,14,3,11392485.44,1103096.27,0.2623,113.4,0.0451
2026-05-01,Tokenization Suite,Regional Banks,8,4,2431658.0,615589.2,0.5062,93.6,0.0646
2026-05-01,Tokenization Suite,ISOs,8,3,543951.73,124265.93,0.4528,46.7,0.0987
2026-05-01,Tokenization Suite,Fintechs,14,5,2325729.68,262352.11,0.3668,68.9,0.0357
2026-05-01,Acceptance API,Tier 1 Banks,9,3,4761876.03,928733.82,0.4303,123.1,0.004
2026-05-01,Acceptance API,Regional Banks,9,3,2601776.59,473725.92,0.3898,84.1,0.0539
2026-05-01,Acceptance API,ISOs,6,3,235693.58,90601.44,0.5664,44.0,0.0139
